;id;nome_pt-br;name_en-us
1033;C0736F ;Carne, boi, de segunda, ensopada c/ legumes (cenoura e batata), c/ sal, Bos taurus, ; Meat, beef, forequarter (shin, shoulder), stewed with vegetables (carrot and potato), with salt 
1034;C0755F ;Carne, boi, fígado, à milanesa (ovo e farinha de rosca), frita (c/ óleo de soja), c/ sal, Bos taurus, ; Meat, beef, liver, breaded (egg and breadcrumbs) fried (with soy oil), with salt 
1035;C0754F ;Carne, boi, fígado, à milanesa (ovo e farinha de rosca), frita (c/ óleo de soja), s/ sal, Bos taurus, ; Meat, beef, liver, breaded (egg and breadcrumbs) fried (with soy oil), unsalted 
1036;C0052F ;Carne, boi, fígado, crua, Bos taurus, ; Meat, beef, liver, raw 
1037;C0753F ;Carne, boi, fígado, frita (c/ óleo de soja), c/ sal, Bos taurus, ; Meat, beef, liver, fried (with soy oil), with salt 
1038;C0752F ;Carne, boi, fígado, frita (c/ óleo de soja), s/ sal, Bos taurus, ; Meat, beef, liver, fried (with soy oil), unsalted 
1039;C0759F ;Carne, boi, fígado, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal, Bos taurus, ; Meat, beef, liver, grilled, with tomato sauce (tomato, with oil, onion and garlic), with salt 
1040;C0758F ;Carne, boi, fígado, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, Bos taurus, ; Meat, beef, liver, grilled, with tomato sauce (tomato, with oil, onion and garlic), unsalted 
1041;C0372F ;Carne, boi, fígado, grelhada, c/ óleo e cebola, c/ sal,  ; Meat, beef, liver, grilled, with oil and onion, with salt 
1042;C0373F ;Carne, boi, fígado, grelhada, c/ óleo e cebola, s/ sal,  ; Meat, beef, liver, grilled, with oil and onion, unsalted 
1043;C0751F ;Carne, boi, fígado, grelhada, s/ óleo, c/ sal, Bos taurus, ; Meat, beef, liver, grilled, without oil, with salt 
1044;C0035F ;Carne, boi, fígado, grelhada, s/ óleo, s/ sal, Bos taurus, ; Meat, beef, liver, grilled, without oil, unsalted 
1045;C0757F ;Carne, boi, fígado, refogada (c/ óleo, cebola e alho), c/ sal, Bos taurus, ; Meat, beef, liver, braised (with oil, onion and garlic), with salt 
1046;C0756F ;Carne, boi, fígado, refogada (c/ óleo, cebola e alho), s/ sal, Bos taurus, ; Meat, beef, liver, braised (with oil, onion and garlic), unsalted 
1047;C0599F ;Carne, boi, filé mignon, s/ gordura, à milanesa (ovo e farinha de rosca), frita (c/ óleo de soja), c/ sal, Bos taurus, ; Meat, beef, tenderloin, without fat, breaded (egg and breadcrumbs), fried (with soy oil), with salt 
1048;C0598F ;Carne, boi, filé mignon, s/ gordura, à milanesa (ovo e farinha de rosca), frita (c/ óleo de soja), s/ sal, Bos taurus, ; Meat, beef, tenderloin, without fat, breaded (egg and breadcrumbs), fried (with soy oil), unsalted 
1049;C0065F ;Carne, boi, filé mignon, s/ gordura, cru, Bos taurus, ; Meat, beef, tenderloin, without fat, raw 
1050;C0597F ;Carne, boi, filé mignon, s/ gordura, frita (c/ óleo de soja), c/ sal, Bos taurus, ; Meat, beef, tenderloin, without fat, grilled/roasted, fried (with soy oil), with salt 
1051;C0596F ;Carne, boi, filé mignon, s/ gordura, frita (c/ óleo de soja), s/ sal, Bos taurus, ; Meat, beef, tenderloin, without fat, grilled/roasted, fried (with soy oil), unsalted 
1052;C0380F ;Carne, boi, filé mignon, s/ gordura, grelhada, c/ manteiga, c/ sal,  ; Meat, beef, tenderloin, without fat, grilled, with butter, with salt 
1053;C0381F ;Carne, boi, filé mignon, s/ gordura, grelhada, c/ manteiga, s/ sal,  ; Meat, beef, tenderloin, without fat, grilled, with butter, unsalted 
1054;C0377F ;Carne, boi, filé mignon, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal,  ; Meat, beef, tenderloin, without fat, grilled, with with sauce (wheat flour, butter and milk), with salt 
1055;C0376F ;Carne, boi, filé mignon, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal,  ; Meat, beef, tenderloin, without fat, grilled, with with sauce (wheat flour, butter and milk), unsalted 
1056;C0378F ;Carne, boi, filé mignon, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), c/ sal,  ; Meat, beef, tenderloin, without fat, grilled, with mustard sauce (cream milk, lemon sauce and mustard), with salt 
1057;C0379F ;Carne, boi, filé mignon, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal,  ; Meat, beef, tenderloin, without fat, grilled, with mustard sauce (cream milk, lemon sauce and mustard), unsalted 
1058;C0382F ;Carne, boi, filé mignon, s/ gordura, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal,  ; Meat, beef, tenderloin, without fat, grilled, with tomato sauce (tomato, with oil, onion and garlic), with salt 
1059;C0374F ;Carne, boi, filé mignon, s/ gordura, grelhada, c/ óleo, cebola e alho, c/ sal,  ; Meat, beef, tenderloin, without fat, grilled, with oil, onion and garlic, with salt 
1060;C0375F ;Carne, boi, filé mignon, s/ gordura, grelhada, c/ óleo, cebola e alho, s/ sal,  ; Meat, beef, tenderloin, without fat, grilled, with oil, onion and garlic, unsalted 
1061;C0036F ;Carne, boi, filé mignon, s/ gordura, grelhada, s/ óleo, s/ sal, Bos taurus, ; Meat, beef, tenderloin, without fat, grilled, without oil, unsalted 
1062;C0602F ;Carne, boi, filé mignon, s/ gordura, grelhada/assada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, Bos taurus, ; Meat, beef, tenderloin, without fat, grilled/roasted, with tomato sauce (tomato, with oil, onion and garlic), unsalted 
1063;C0595F ;Carne, boi, filé mignon, s/ gordura, grelhada/assada, s/ óleo, c/ sal, Bos taurus, ; Meat, beef, tenderloin, without fat, grilled/roasted, without oil, with salt 
1064;C0389F ;Carne, boi, flanco, s/ gordura, cozida,  c/ batata e cenoura, c/ óleo, cebola e alho, c/ sal,  ; Meat, beef, flank steak, without fat, cooked, with potato and carrot, with oil, onion and garlic, with salt 
1065;C0390F ;Carne, boi, flanco, s/ gordura, cozida,  c/ batata e cenoura, c/ óleo, cebola e alho, s/ sal,  ; Meat, beef, flank steak, without fat, cooked, with potato and carrot, with oil, onion and garlic, unsalted 
1066;C0388F ;Carne, boi, flanco, s/ gordura, cozida,  c/ batata e vegetais - cenoura, chuchu, vagem, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal,  ; Meat, beef, flank steak, without fat, cooked,  with potato and vegetables - carrot, chayote, pod, with tomato sauce (tomato, with oil, onion and garlic), with salt 
1067;C0386F ;Carne, boi, flanco, s/ gordura, cozida,  c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, c/ sal,  ; Meat, beef, flank steak, without fat, cooked,  with potato and vegetables - carrot, chayote, pod, with oil, onion and garlic, with salt 
1068;C0387F ;Carne, boi, flanco, s/ gordura, cozida,  c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, s/ sal,  ; Meat, beef, flank steak, without fat, cooked,  with potato and vegetables - carrot, chayote, pod, with oil, onion and garlic, unsalted 
1069;C0385F ;Carne, boi, flanco, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal,  ; Meat, beef, flank steak, without fat, cooked, with tomato sauce (tomato, with oil, onion and garlic), with salt 
1070;C0383F ;Carne, boi, flanco, s/ gordura, cozida, c/ óleo, cebola e alho, c/ sal,  ; Meat, beef, flank steak, without fat, cooked, with oil, onion and garlic, with salt 
1071;C0384F ;Carne, boi, flanco, s/ gordura, cozida, c/ óleo, cebola e alho, s/ sal,  ; Meat, beef, flank steak, without fat, cooked, with oil, onion and garlic, unsalted 
1072;C0037F ;Carne, boi, flanco, s/ gordura, cozida, s/ sal, Bos taurus, ; Meat, beef, flank steak, without fat, cooked, without oil, unsalted 
1073;C0066F ;Carne, boi, flanco, s/ gordura, cru, Bos taurus, ; Meat, beef, flank, without fat, raw 
1074;C0393F ;Carne, boi, fraldinha, c/ gordura, cozida, c/ batata e cenoura, c/ óleo, cebola e alho, c/ sal,  ; Meat, beef, thin skirt/flank and bottom sirloin, with fat, cooked, with potato and carrot, with oil, onion and garlic, with salt 
1075;C0394F ;Carne, boi, fraldinha, c/ gordura, cozida, c/ batata e cenoura, c/ óleo, cebola e alho, s/ sal,  ; Meat, beef, thin skirt/flank and bottom sirloin, with fat, cooked, with potato and carrot, with oil, onion and garlic, unsalted 
1076;C0391F ;Carne, boi, fraldinha, c/ gordura, cozida, c/ óleo, cebola e alho, c/ sal,  ; Meat, beef, thin skirt/flank and bottom sirloin, with fat, cooked, with oil, onion and garlic, with salt 
1077;C0392F ;Carne, boi, fraldinha, c/ gordura, cozida, c/ óleo, cebola e alho, s/ sal,  ; Meat, beef, thin skirt/flank and bottom sirloin, with fat, cooked, with oil, onion and garlic, unsalted 
1078;C0800F ;Carne, boi, fraldinha, c/ gordura, cozida, s/ óleo, c/ sal, Bos taurus, ; Meat, beef, thin skirt/flank and bottom sirloin, with fat, cooked, without oil, with salt 
1079;C0038F ;Carne, boi, fraldinha, c/ gordura, cozida, s/ sal, Bos taurus, ; Meat, beef, thin skirt/flank and bottom sirloin, with fat, cooked, without oil, unsalted 
1080;C0067F ;Carne, boi, fraldinha, c/ gordura, crua, Bos taurus, ; Meat, beef, thin skirt/flank and bottom sirloin, with fat, raw 
1081;C0804F ;Carne, boi, fraldinha, c/ gordura, frita (c/ óleo de soja), c/ sal, Bos taurus, ; Meat, beef, thin skirt/flank and bottom sirloin, with fat, fried (with soy oil), with salt 
1082;C0803F ;Carne, boi, fraldinha, c/ gordura, frita (c/ óleo de soja), s/ sal, Bos taurus, ; Meat, beef, thin skirt/flank and bottom sirloin, with fat, fried (with soy oil), unsalted 
1083;C0397F ;Carne, boi, lagarto, cozida, c/ cenoura e ervilha, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal,  ; Meat, beef, eye of round, cooked, with carrot and green pea, with tomato sauce (tomato, with oil, onion and garlic), with salt 
1084;C0398F ;Carne, boi, lagarto, cozida, c/ cenoura e ervilha, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal,  ; Meat, beef, eye of round, cooked, with carrot and green pea, with tomato sauce (tomato, with oil, onion and garlic), unsalted 
1085;C0631F ;Carne, boi, lagarto, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal, Bos taurus, ; Meat, beef, eye of round, with tomato sauce (tomato, with soy oil, onion and garlic), with salt 
1086;C0630F ;Carne, boi, lagarto, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, Bos taurus, ; Meat, beef, eye of round, with tomato sauce (tomato, with soy oil, onion and garlic), unsalted 
1087;C0395F ;Carne, boi, lagarto, cozida, c/ óleo, cebola e alho, c/ sal,  ; Meat, beef, eye of round, cooked, with oil, onion and garlic, with salt 
1088;C0396F ;Carne, boi, lagarto, cozida, c/ óleo, cebola e alho, s/ sal,  ; Meat, beef, eye of round, cooked, with oil, onion and garlic, unsalted 
1089;C0625F ;Carne, boi, lagarto, cozida, s/ óleo, c/ sal, Bos taurus, ; Meat, beef, eye of round, cooked, without oil, with salt 
1090;C0039F ;Carne, boi, lagarto, cozida, s/ óleo, s/ sal, Bos taurus, ; Meat, beef, eye of round, cooked, without oil, unsalted 
1091;C0068F ;Carne, boi, lagarto, crua (média diferentes amostras frescas, resfriadas, congeladas), Bos taurus, ; Meat, beef, eye of round, raw (average of several samples) 
1092;C0627F ;Carne, boi, lagarto, frita (c/ óleo de soja), c/ sal, Bos taurus, ; Meat, beef, eye of round, fried (with soy oil), with salt 
1093;C0626F ;Carne, boi, lagarto, frita (c/ óleo de soja), s/ sal, Bos taurus, ; Meat, beef, eye of round, fried (with soy oil), unsalted 
1094;C0629F ;Carne, boi, lagarto, refogada (c/ óleo, cebola e alho), c/ sal, Bos taurus, ; Meat, beef, eye of round, braised (with soy oil, onion and garlic), with salt 
1095;C0628F ;Carne, boi, lagarto, refogada (c/ óleo, cebola e alho), s/ sal, Bos taurus, ; Meat, beef, eye of round, braised (with soy oil, onion and garlic), unsalted 
1096;C0836F ;Carne, boi, língua, cozida, ao molho vermelho (tomate, c/ óleo, cebola e alho), c/ sal,  ; Meat, beef, tongue, cooked, with tomato sauce (tomato, with oil, onion and garlic), with salt 
1097;C0399F ;Carne, boi, lingua, cozida, c/ cenoura e ervilha, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal,  ; Meat, beef, tongue, cooked, with carrot and green pea, with tomato sauce (tomato, with oil, onion and garlic), with salt 
1098;C0400F ;Carne, boi, lingua, cozida, c/ cenoura e ervilha, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal,  ; Meat, beef, tongue, cooked, with carrot and green pea, with tomato sauce (tomato, with oil, onion and garlic), unsalted 
1099;C0810F ;Carne, boi, língua, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, Bos taurus, ; Meat, beef, tongue, with tomato sauce (tomato, with soy oil, onion and garlic), unsalted 
1100;C0490F ;Carne, boi, lingua, cozida, recheada, c/ cenoura, pimentão vermelho, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal,  ; Meat, beef, tongue, cooked, stuffed, with carrot, red bell pepper, with tomato sauce (tomato, with oil, onion and garlic) and salt 
1101;C0491F ;Carne, boi, lingua, cozida, recheada, c/ linguiça calabresa, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal,  ; Meat, beef, tongue, cooked, stuffed, with calabrese sausage, with tomato sauce (tomato, with oil, onion and garlic) and salt 
1102;C0834F ;Carne, boi, língua, cozida, s/ óleo, c/ sal,  ; Meat, beef, tongue, cooked, without oil, with salt 
1103;C0040F ;Carne, boi, lingua, cozida, s/ sal, Bos taurus, ; Meat, beef, tongue, cooked, without oil, unsalted 
1104;C0069F ;Carne, boi, língua, crua, Bos taurus, ; Meat, beef, tongue, raw 
1105;C0835F ;Carne, boi, língua, refogada, c/ óleo, cebola e alho, c/ sal,  ; Meat, beef, tongue, braised, with oil, onion and garlic, with salt 
1106;C0070F ;Carne, boi, maminha, crua, Bos taurus, ; Meat, beef, rump tail/bottom sirloin, raw 
1107;C0818F ;Carne, boi, maminha, frita (c/ óleo de soja), c/ sal, Bos taurus, ; Meat, beef, rump tail/bottom sirloin, fried (with soy oil), with salt 
1108;C0817F ;Carne, boi, maminha, frita (c/ óleo de soja), s/ sal, Bos taurus, ; Meat, beef, rump tail/bottom sirloin, fried (with soy oil), unsalted 
1109;C0409F ;Carne, boi, maminha, grelhada, c/ manteiga, c/ sal,  ; Beef, rump tail/bottom sirloin, grilled, with butter, with salt 
1110;C0410F ;Carne, boi, maminha, grelhada, c/ manteiga, s/ sal,  ; Beef, rump tail/bottom sirloin, grilled, with butter, unsalted 
1111;C0406F ;Carne, boi, maminha, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal,  ; Beef, rump tail/bottom sirloin, grilled, with with sauce (wheat flour, butter and milk), with salt 
1112;C0405F ;Carne, boi, maminha, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal,  ; Beef, rump tail/bottom sirloin, grilled, with with sauce (wheat flour, butter and milk), unsalted 
1113;C0407F ;Carne, boi, maminha, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), c/ sal,  ; Beef, rump tail/bottom sirloin, grilled, with mustard sauce (cream milk, lemon sauce and mustard), with salt 
1114;C0408F ;Carne, boi, maminha, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal,  ; Beef, rump tail/bottom sirloin, grilled, with mustard sauce (cream milk, lemon sauce and mustard), unsalted 
1115;C0411F ;Carne, boi, maminha, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal,  ; Beef, rump tail/bottom sirloin, grilled, with tomato sauce (tomato, with oil, onion and garlic), with salt 
1116;C0403F ;Carne, boi, maminha, grelhada, c/ óleo, cebola e alho, c/ sal,  ; Beef, rump tail/bottom sirloin, grilled, with oil, onion and garlic, with salt 
1117;C0404F ;Carne, boi, maminha, grelhada, c/ óleo, cebola e alho, s/ sal,  ; Beef, rump tail/bottom sirloin, grilled, with oil, onion and garlic, unsalted 
1118;C0041F ;Carne, boi, maminha, grelhada, s/ óleo, s/ sal, Bos taurus, ; Beef, rump tail/bottom sirloin, grilled, without oil, unsalted 
1119;C0819F ;Carne, boi, maminha, grelhada/assada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, Bos taurus, ; Meat, beef, rump tail/bottom sirloin, grilled/roasted, with tomato sauce (tomato, with oil, onion and garlic), unsalted 
1120;C0816F ;Carne, boi, maminha, grelhada/assada, s/ óleo, c/ sal, Bos taurus, ; Meat, beef, rump tail/bottom sirloin, grilled/roasted, without oil, with salt 
1121;C0593F ;Carne, boi, maminha, s/ gordura, assada, recheado - cebola, pimentão, tomate, linguiça calabresa, c/ pimenta-do-reino, c/ sal,  ; Meat, beef, rump tail/bottom sirloin, without fat, roasted, stuffed - bell pepper, onion, tomato, calabrese sausage, with black pepper, with salt 
1122;C0594F ;Carne, boi, maminha, s/ gordura, assada, recheado - cebola, pimentão, tomate, linguiça calabresa, c/ pimenta-do-reino, s/ sal,  ; Meat, beef, rump tail/bottom sirloin, without fat, roasted, stuffed - bell pepper, onion, tomato, calabrese sausage, with black pepper, unsalted 
1123;C0932F ;Carne, boi, miolo de alcatra (baby beef), grelhada/assada, s/ óleo, c/ molho roti (caldo de carne, água, vinho tinto, farinha de trigo, manteiga, tomilho, c/ pimenta-do-reino), c/ sal,  ; Meat, beef, rump centre/top/bottom sirloin, without fat, with beef sauce (beef broth, water, red wine, wheat flour, butter, thyme, with black pepper), with salt 
1124;C0933F ;Carne, boi, miolo de alcatra (baby beef), grelhada/assada, s/ óleo, c/ molho roti (caldo de carne, água, vinho tinto, farinha de trigo, manteiga, tomilho, c/ pimenta-do-reino), c/ sal,  ; Meat, beef, rump centre/top/bottom sirloin, without fat, with beef sauce (beef broth, water, red wine, wheat flour, butter, thyme, with black pepper), unsalted 
1125;C0606F ;Carne, boi, miolo de alcatra, grelhada/assada, s/ óleo, c/ sal, Bos taurus, ; Meat, beef, rump centre/top/bottom sirloin, roasted/grilled, without oil, with salt 
1126;C0418F ;Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ manteiga, c/ sal,  ; Meat, beef, rump centre/top/bottom sirloin, without fat, grilled, with butter, with salt 
1127;C0419F ;Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ manteiga, s/ sal,  ; Meat, beef, rump centre/top/bottom sirloin, without fat, grilled, with butter, unsalted 
1128;C0415F ;Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal,  ; Meat, beef, rump centre/top/bottom sirloin, without fat, grilled, with with sauce (wheat flour, butter and milk), with salt 
1129;C0414F ;Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal,  ; Meat, beef, rump centre/top/bottom sirloin, without fat, grilled, with with sauce (wheat flour, butter and milk), unsalted 
1130;C0416F ;Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), c/ sal,  ; Meat, beef, rump centre/top/bottom sirloin, without fat, grilled, with mustard sauce (cream milk, lemon sauce and mustard), with salt 
1131;C0417F ;Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal,  ; Meat, beef, rump centre/top/bottom sirloin, without fat, grilled, with mustard sauce (cream milk, lemon sauce and mustard), unsalted 
1132;C0420F ;Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal,  ; Meat, beef, rump centre/top/bottom sirloin, without fat, grilled, with tomato sauce (tomato, with oil, onion and garlic), with salt 
1133;C0412F ;Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ óleo, cebola e alho, c/ sal,  ; Meat, beef, rump centre/top/bottom sirloin, without fat, grilled, with oil, onion and garlic, with salt 
1134;C0413F ;Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ óleo, cebola e alho, s/ sal,  ; Meat, beef, rump centre/top/bottom sirloin, without fat, grilled, with oil, onion and garlic, unsalted 
1135;C0042F ;Carne, boi, miolo de alcatra, s/ gordura, grelhada, s/ óleo, s/ sal, Bos taurus, ; Meat, beef, rump centre/top/bottom sirloin, without fat, grilled, without oil, unsalted 
1136;C0855F ;Carne, boi, miolo, cozida, s/ óleo, c/sal,  ; Meat, beef, brain, cooked, without oil, with salt 
1137;C0854F ;Carne, boi, miolo, cozida, s/óleo, s/ sal,  ; Meat, beef, brain, cooked, without oil, unsalted 
1138;C0071F ;Carne, boi, moída, s/ gordura, crua, Bos taurus, ; Meat, beef, ground, no fat, raw 
1139;C0427F ;Carne, boi, músculo, s/ gordura, cozida, c/ batata doce e cenoura, c/ óleo, cebola e alho, c/ sal,  ; Meat, beef, shin, without fat, cooked, with sweet potato and carrot, with oil, onion and garlic, with salt 
1140;C0428F ;Carne, boi, músculo, s/ gordura, cozida, c/ batata doce e cenoura, c/ óleo, cebola e alho, s/ sal,  ; Meat, beef, shin, without fat, cooked, with sweet potato and carrot, with oil, onion and garlic, unsalted 
1141;C0425F ;Carne, boi, músculo, s/ gordura, cozida, c/ batata e cenoura, c/ óleo, cebola e alho, c/ sal,  ; Meat, beef, shin, without fat, cooked, with potato and carrot, with oil, onion and garlic, with salt 
1142;C0426F ;Carne, boi, músculo, s/ gordura, cozida, c/ batata e cenoura, c/ óleo, cebola e alho, s/ sal,  ; Meat, beef, shin, without fat, cooked, with potato and carrot, with oil, onion and garlic, unsalted 
1143;C0429F ;Carne, boi, músculo, s/ gordura, cozida, c/ brócolis e cenoura, c/ óleo, cebola e alho, c/ sal,  ; Meat, beef, shin, without fat, cooked, with broccoli and carrot, with oil, onion and garlic, with salt 
1144;C0430F ;Carne, boi, músculo, s/ gordura, cozida, c/ brócolis e cenoura, c/ óleo, cebola e alho, s/ sal,  ; Meat, beef, shin, without fat, cooked, with broccoli and carrot, with oil, onion and garlic, unsalted 
1145;C0423F ;Carne, boi, músculo, s/ gordura, cozida, c/ cenoura e ervilha, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal,  ; Meat, beef, shin, without fat, cooked, with carrot and green pea, with tomato sauce (tomato, with oil, onion and garlic), with salt 
1146;C0424F ;Carne, boi, músculo, s/ gordura, cozida, c/ cenoura e ervilha, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal,  ; Meat, beef, shin, without fat, cooked, with carrot and green pea, with tomato sauce (tomato, with oil, onion and garlic), unsalted 
1147;C0674F ;Carne, boi, músculo, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal, Bos taurus, ; Meat, beef, shin, without fat, cooked, with tomato sauce (tomato, with oil, onion and garlic), with salt 
1148;C0673F ;Carne, boi, músculo, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, Bos taurus, ; Meat, beef, shin, without fat, cooked, with tomato sauce (tomato, with oil, onion and garlic), unsalted 
1149;C0421F ;Carne, boi, músculo, s/ gordura, cozida, c/ óleo, cebola e alho, c/ sal,  ; Meat, beef, shin, without fat, cooked, with oil, onion and garlic, with salt 
1150;C0422F ;Carne, boi, músculo, s/ gordura, cozida, c/ óleo, cebola e alho, s/ sal,  ; Meat, beef, shin, without fat, cooked, with oil, onion and garlic, unsalted 
1151;C0670F ;Carne, boi, músculo, s/ gordura, cozida, s/ óleo, c/ sal, Bos taurus, ; Meat, beef, shin, without fat, cooked, without oil, with salt 
1152;C0043F ;Carne, boi, músculo, s/ gordura, cozida, s/ óleo, s/ sal, Bos taurus, ; Meat, beef, shin, without fat, cooked, without oil, unsalted 
1153;C0072F ;Carne, boi, músculo, s/ gordura, cru, Bos taurus, ; Meat, beef, shin, without fat, raw 
1154;C0872F ;Carne, boi, ovelha, cozido, c/ óleo, c/ sal,  ; Meat, lamb, cooked, with oil, with salt 
1155;C0073F ;Carne, boi, paleta, c/ gordura, crua, Bos taurus, ; Meat, beef, shoulder, with fat, raw 
1156;C0437F ;Carne, boi, paleta, s/ gordura, cozida, c/ batata doce e cenoura, c/ óleo, cebola e alho, c/ sal,  ; Meat, beef, shoulder, without fat, cooked, with sweet potato and carrot, with oil, onion and garlic, with salt 
1157;C0438F ;Carne, boi, paleta, s/ gordura, cozida, c/ batata doce e cenoura, c/ óleo, cebola e alho, s/ sal,  ; Meat, beef, shoulder, without fat, cooked, with sweet potato and carrot, with oil, onion and garlic, unsalted 
1158;C0435F ;Carne, boi, paleta, s/ gordura, cozida, c/ batata e cenoura, c/ óleo, cebola e alho, c/ sal,  ; Meat, beef, shoulder, without fat, cooked, potato pea and carrot, with oil, onion and garlic, with salt 
1159;C0436F ;Carne, boi, paleta, s/ gordura, cozida, c/ batata e cenoura, c/ óleo, cebola e alho, s/ sal,  ; Meat, beef, shoulder, without fat, cooked, potato pea and carrot, with oil, onion and garlic, unsalted 
1160;C0439F ;Carne, boi, paleta, s/ gordura, cozida, c/ brócolis e cenoura, c/ óleo, cebola e alho, c/ sal,  ; Meat, beef, shoulder, without fat, cooked, with broccoli and carrot, with oil, onion and garlic, with salt 
1161;C0440F ;Carne, boi, paleta, s/ gordura, cozida, c/ brócolis e cenoura, c/ óleo, cebola e alho, s/ sal,  ; Meat, beef, shoulder, without fat, cooked, with broccoli and carrot, with oil, onion and garlic, unsalted 
1162;C0433F ;Carne, boi, paleta, s/ gordura, cozida, c/ ervilha e cenoura, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal,  ; Meat, beef, shoulder, without fat, cooked, with green pea and carrot, with tomato sauce (tomato, with oil, onion and garlic), with salt 
1163;C0434F ;Carne, boi, paleta, s/ gordura, cozida, c/ ervilha e cenoura, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal,  ; Meat, beef, shoulder, without fat, cooked, with green pea and carrot, with tomato sauce (tomato, with oil, onion and garlic), unsalted 
1164;C0669F ;Carne, boi, paleta, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal, Bos taurus, ; Meat, beef, shoulder, without fat, cooked, with tomato sauce (tomato, with oil, onion and garlic), with salt 
1165;C0668F ;Carne, boi, paleta, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, Bos taurus, ; Meat, beef, shoulder, without fat, cooked, with tomato sauce (tomato, with oil, onion and garlic), unsalted 
1166;C0432F ;Carne, boi, paleta, s/ gordura, cozida, c/ óleo, cebola e alho, s/ sal,  ; Meat, beef, shoulder, without fat, cooked, with oil, onion and garlic, unsalted 
1167;C0431F ;Carne, boi, paleta, s/ gordura, cozida, refogada (c/ óleo, cebola e alho), c/ sal,  ; Meat, beef, shoulder, without fat, cooked, braised (with oil, onion and garlic), with salt 
1168;C0663F ;Carne, boi, paleta, s/ gordura, cozida, s/ óleo, c/ sal, Bos taurus, ; Meat, beef, shoulder, without fat, cooked, without oil, with salt 
1169;C0044F ;Carne, boi, paleta, s/ gordura, cozida, s/ óleo, s/ sal, Bos taurus, ; Meat, beef, shoulder, without fat, cooked, without oil, unsalted 
1170;C0074F ;Carne, boi, paleta, s/ gordura, crua, Bos taurus, ; Meat, beef, shoulder, without fat, raw 
1171;C0665F ;Carne, boi, paleta, s/ gordura, frita (c/ óleo de soja), c/ sal, Bos taurus, ; Meat, beef, shoulder, without fat, fried (with soy oil), with salt 
